time(s),joint1(rad),joint2(rad),joint3(rad),joint4(rad),joint5(rad),joint6(rad)
2.61087000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
2.64088000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
2.68321000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
2.71322000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
2.74648000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
2.78922000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
2.78922000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
2.78922000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
2.81922000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
2.81922000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
2.85172000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
2.85172000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
2.88173000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70553100
2.88173000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
2.91591000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
2.94591000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
2.94591000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
2.97592000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
2.97592000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.00592000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.00592000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.03592000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.03592000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.06593000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.06593000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.09593000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.12593000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.12593000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.15593000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.15593000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.18593000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.18593000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.21593000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.21593000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.24594000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.24594000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.27679000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.30679000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.30679000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.33679000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552300
3.33679000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.33679000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.33679000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.33679000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.36679000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.36679000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.44617000,0.88730000,0.38490000,-1.22100000,-1.62400000,0.63120000,-0.70550000
3.44617000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.44617000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.44617000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.44617000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.44617000,0.88730000,0.38490000,-1.22100000,-1.62400000,0.63120000,-0.70550000
3.44617000,0.88730000,0.38490000,-1.22100000,-1.62400000,0.63120000,-0.70550000
3.44617000,0.88730000,0.38490000,-1.22100000,-1.62400000,0.63120000,-0.70550000
3.44617000,0.88730000,0.38490000,-1.22100000,-1.62400000,0.63120000,-0.70550000
3.44617000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.44617000,0.88729200,0.38487200,-1.22139000,-1.62422000,0.63117200,-0.70552700
3.47600000,0.88730000,0.38490000,-1.22100000,-1.62400000,0.63120000,-0.70550000
3.47600000,0.88730000,0.38490000,-1.22100000,-1.62400000,0.63120000,-0.70550000
3.51400000,0.88730000,0.38490000,-1.22100000,-1.62400000,0.63120000,-0.70550000
3.51400000,0.88730000,0.38490000,-1.22100000,-1.62400000,0.63120000,-0.70550000
3.51400000,0.88730000,0.38490000,-1.22100000,-1.62400000,0.63120000,-0.70550000
3.51400000,0.88730000,0.38490000,-1.22100000,-1.62400000,0.63120000,-0.70550000
3.51400000,0.88730000,0.38490000,-1.22100000,-1.62400000,0.63120000,-0.70550000
3.51400000,0.88730000,0.38490000,-1.22100000,-1.62400000,0.63120000,-0.70550000
3.51400000,0.88730000,0.38490000,-1.22100000,-1.62400000,0.63120000,-0.70550000
3.51400000,0.88730000,0.38490000,-1.22100000,-1.62400000,0.63120000,-0.70550000
3.51400000,0.88730000,0.38490000,-1.22100000,-1.62400000,0.63120000,-0.70550000
3.51400000,0.88730000,0.38490000,-1.22100000,-1.62400000,0.63120000,-0.70550000
3.51400000,0.88730000,0.38490000,-1.22100000,-1.62400000,0.63120000,-0.70550000
3.51400000,0.88730000,0.38490000,-1.22100000,-1.62400000,0.63120000,-0.70550000
3.54400000,0.88730000,0.38490000,-1.22100000,-1.62400000,0.63120000,-0.70550000
3.54400000,0.88730000,0.38490000,-1.22100000,-1.62400000,0.63120000,-0.70550000
3.54400000,0.88730000,0.38490000,-1.22100000,-1.62400000,0.63120000,-0.70550000
3.54400000,0.88730000,0.38490000,-1.22100000,-1.62400000,0.63120000,-0.70550000
3.54400000,0.88730000,0.38490000,-1.22100000,-1.62400000,0.63120000,-0.70550000
3.54400000,0.88730000,0.38490000,-1.22100000,-1.62400000,0.63120000,-0.70550000
