time(s),joint1(rad),joint2(rad),joint3(rad),joint4(rad),joint5(rad),joint6(rad)
0.00000013,-1.19178000,-0.53214700,0.56065100,-1.92633000,0.52134400,-0.88079300
0.04070340,-1.19178000,-0.53214700,0.56065100,-1.92633000,0.52134400,-0.88079300
0.07070620,-1.19178000,-0.53214700,0.56065100,-1.92633000,0.52134400,-0.88079300
0.11176800,-1.19178000,-0.53214700,0.56065100,-1.92633000,0.52134400,-0.88079300
0.14177500,-1.19178000,-0.53214700,0.56065100,-1.92633000,0.52134400,-0.88079300
0.18382400,-1.19178000,-0.53214700,0.56065100,-1.92633000,0.52134400,-0.88079300
0.21383100,-1.19178000,-0.53214700,0.56065100,-1.92633000,0.52134400,-0.88079300
0.25489300,-1.19178000,-0.53214700,0.56065100,-1.92633000,0.52134400,-0.88079300
0.28489900,-1.19178000,-0.53214700,0.56065100,-1.92633000,0.52134400,-0.88079300
0.32573500,-1.19178000,-0.53214700,0.56065100,-1.92633000,0.52134400,-0.88079300
0.35573700,-1.19178000,-0.53214700,0.56065100,-1.92633000,0.52134400,-0.88079300
0.39671500,-1.19178000,-0.53214700,0.56065100,-1.92633000,0.52134400,-0.88079300
0.42671600,-1.19178000,-0.53214700,0.56065100,-1.92633000,0.52134400,-0.88079300
0.46789800,-1.19178000,-0.53214700,0.56065100,-1.92633000,0.52134400,-0.88079300
0.49790400,-1.19178000,-0.53214700,0.56065100,-1.92633000,0.52134400,-0.88079300
0.53887600,-1.19178000,-0.53214700,0.56065100,-1.92633000,0.52134400,-0.88079300
0.56888800,-1.19178000,-0.53214700,0.56065100,-1.92633000,0.52134400,-0.88079300
0.60979100,-1.19178000,-0.53214700,0.56065100,-1.92633000,0.52134400,-0.88079300
0.63979100,-1.19178000,-0.53214700,0.56065100,-1.92633000,0.52134400,-0.88079300
0.68073400,-1.19178000,-0.53214700,0.56065100,-1.92633000,0.52134400,-0.88079300
0.71073500,-1.19178000,-0.53214700,0.56065100,-1.92633000,0.52134400,-0.88079300
0.75168000,-1.19178000,-0.53214700,0.56065100,-1.92633000,0.52134400,-0.88079300
0.78168100,-1.19178000,-0.53214700,0.56065100,-1.92633000,0.52134400,-0.88079300
0.82268300,-1.19178000,-0.53214700,0.56065100,-1.92633000,0.52134400,-0.88079300
0.85268700,-1.19178000,-0.53214700,0.56065100,-1.92633000,0.52134400,-0.88079300
0.89371200,-1.19178000,-0.53214700,0.56065100,-1.92633000,0.52134400,-0.88079300
0.92371300,-1.19178000,-0.53214700,0.56065100,-1.92633000,0.52134400,-0.88079300
0.96467800,-1.19178000,-0.53214700,0.56065100,-1.92633000,0.52134400,-0.88079300
0.99468200,-1.19178000,-0.53214700,0.56065100,-1.92633000,0.52134400,-0.88079300
