time(s),joint1(rad),joint2(rad),joint3(rad),joint4(rad),joint5(rad),joint6(rad)
2.94751000,-0.94522600,-0.49037800,1.12562000,-1.47961000,0.62425000,-0.78444900
2.97751000,-0.94522600,-0.49049200,1.12550000,-1.48002000,0.62425300,-0.78406700
3.02045000,-0.94522600,-0.49049200,1.12550000,-1.48002000,0.62425300,-0.78406700
3.05045000,-0.94522600,-0.49060600,1.12538000,-1.48043000,0.62425600,-0.78368600
3.09257000,-0.94522600,-0.49066200,1.12532000,-1.48064000,0.62425800,-0.78349600
3.12257000,-0.94522700,-0.49077600,1.12519000,-1.48104000,0.62426100,-0.78311500
3.16467000,-0.94522700,-0.49077600,1.12519000,-1.48104000,0.62426100,-0.78311500
3.20646000,-0.94522700,-0.49083300,1.12513000,-1.48125000,0.62426300,-0.78292400
3.23647000,-0.94522700,-0.49100300,1.12495000,-1.48186000,0.62426700,-0.78235300
3.27858000,-0.94522700,-0.49100300,1.12495000,-1.48186000,0.62426700,-0.78235300
3.30858000,-0.94522800,-0.49111700,1.12483000,-1.48227000,0.62427100,-0.78197200
3.35480000,-0.94522800,-0.49111700,1.12483000,-1.48227000,0.62427100,-0.78197200
3.38480000,-0.94522800,-0.49128700,1.12465000,-1.48288000,0.62427500,-0.78140000
3.42744000,-0.94522800,-0.49128700,1.12465000,-1.48288000,0.62427500,-0.78140000
3.45744000,-0.94522900,-0.49140000,1.12452000,-1.48329000,0.62427800,-0.78101900
3.50013000,-0.94522900,-0.49140000,1.12452000,-1.48329000,0.62427800,-0.78101900
3.53013000,-0.94522900,-0.49151400,1.12440000,-1.48370000,0.62428200,-0.78063800
3.57303000,-0.94522900,-0.49157100,1.12434000,-1.48391000,0.62428300,-0.78044700
3.60304000,-0.94523000,-0.49168400,1.12422000,-1.48431000,0.62428600,-0.78006600
3.64484000,-0.94523000,-0.49168400,1.12422000,-1.48431000,0.62428600,-0.78006600
3.68648000,-0.94523000,-0.49174100,1.12416000,-1.48452000,0.62428800,-0.77987600
3.71648000,-0.94523000,-0.49191100,1.12398000,-1.48513000,0.62429200,-0.77930400
3.76217000,-0.94523000,-0.49196800,1.12392000,-1.48534000,0.62429400,-0.77911400
3.81199000,-0.94523100,-0.49202500,1.12385000,-1.48554000,0.62429600,-0.77892300
3.84199000,-0.94523100,-0.49213800,1.12373000,-1.48595000,0.62429900,-0.77854200
3.88467000,-0.94523100,-0.49213800,1.12373000,-1.48595000,0.62429900,-0.77854200
3.92652000,-0.94523100,-0.49219500,1.12367000,-1.48615000,0.62430000,-0.77835200
3.95653000,-0.94523200,-0.49236600,1.12349000,-1.48677000,0.62430500,-0.77778000
3.99989000,-0.94523200,-0.49236600,1.12349000,-1.48677000,0.62430500,-0.77778000
4.02990000,-0.94523200,-0.49247900,1.12337000,-1.48718000,0.62430800,-0.77739900
4.07451000,-0.94523200,-0.49247900,1.12337000,-1.48718000,0.62430800,-0.77739900
4.10451000,-0.94523200,-0.49259300,1.12324000,-1.48758000,0.62431100,-0.77701800
4.16563000,-0.94523300,-0.49264900,1.12318000,-1.48779000,0.62431300,-0.77682700
4.19564000,-0.94523300,-0.49282000,1.12300000,-1.48840000,0.62431800,-0.77625600
4.23834000,-0.94523300,-0.49282000,1.12300000,-1.48840000,0.62431800,-0.77625600
4.26834000,-0.94523300,-0.49293300,1.12288000,-1.48881000,0.62432100,-0.77587500
4.31374000,-0.94523300,-0.49293300,1.12288000,-1.48881000,0.62432100,-0.77587500
4.34374000,-0.94523400,-0.49310400,1.12270000,-1.48942000,0.62432500,-0.77530300
4.38676000,-0.94523400,-0.49310400,1.12270000,-1.48942000,0.62432500,-0.77530300
4.41676000,-0.94523400,-0.49321700,1.12257000,-1.48983000,0.62432900,-0.77492200
4.45913000,-0.94523400,-0.49321700,1.12257000,-1.48983000,0.62432900,-0.77492200
4.48914000,-0.94523500,-0.49333100,1.12245000,-1.49024000,0.62433200,-0.77454100
4.53183000,-0.94523500,-0.49333100,1.12245000,-1.49024000,0.62433200,-0.77454100
4.56183000,-0.94523500,-0.49350100,1.12227000,-1.49085000,0.62433600,-0.77396900
4.60429000,-0.94523500,-0.49350100,1.12227000,-1.49085000,0.62433600,-0.77396900
4.63429000,-0.94523600,-0.49361500,1.12215000,-1.49126000,0.62434000,-0.77358800
4.67763000,-0.94523600,-0.49361500,1.12215000,-1.49126000,0.62434000,-0.77358800
4.70763000,-0.94523600,-0.49378500,1.12196000,-1.49188000,0.62434400,-0.77301700
4.75122000,-0.94523600,-0.49378500,1.12196000,-1.49188000,0.62434400,-0.77301700
4.78122000,-0.94523600,-0.49389800,1.12184000,-1.49228000,0.62434700,-0.77263600
4.82944000,-0.94523600,-0.49389800,1.12184000,-1.49228000,0.62434700,-0.77263600
4.85944000,-0.94523700,-0.49406900,1.12166000,-1.49290000,0.62435200,-0.77206400
4.90387000,-0.94523700,-0.49406900,1.12166000,-1.49290000,0.62435200,-0.77206400
4.93387000,-0.94523700,-0.49418200,1.12154000,-1.49331000,0.62435500,-0.77168300
4.97669000,-0.94523700,-0.49418200,1.12154000,-1.49331000,0.62435500,-0.77168300
5.00670000,-0.94523800,-0.49435300,1.12136000,-1.49392000,0.62436000,-0.77111100
5.05045000,-0.94523800,-0.49435300,1.12136000,-1.49392000,0.62436000,-0.77111100
5.08045000,-0.94523800,-0.49446600,1.12123000,-1.49433000,0.62436300,-0.77073000
5.12437000,-0.94523800,-0.49446600,1.12123000,-1.49433000,0.62436300,-0.77073000
5.15437000,-0.94523900,-0.49463700,1.12105000,-1.49494000,0.62436800,-0.77015900
5.19673000,-0.94523900,-0.49463700,1.12105000,-1.49494000,0.62436800,-0.77015900
5.22673000,-0.94523900,-0.49475000,1.12093000,-1.49535000,0.62437100,-0.76977800
5.27253000,-0.94523900,-0.49475000,1.12093000,-1.49535000,0.62437100,-0.76977800
5.30253000,-0.94524000,-0.49492000,1.12075000,-1.49596000,0.62437600,-0.76920600
5.34550000,-0.94524000,-0.49492000,1.12075000,-1.49596000,0.62437600,-0.76920600
5.37551000,-0.94524000,-0.49503400,1.12062000,-1.49637000,0.62437900,-0.76882500
5.41803000,-0.94524000,-0.49503400,1.12062000,-1.49637000,0.62437900,-0.76882500
5.44803000,-0.94524000,-0.49514700,1.12050000,-1.49678000,0.62438200,-0.76844400
5.49068000,-0.94524000,-0.49514700,1.12050000,-1.49678000,0.62438200,-0.76844400
5.52068000,-0.94524100,-0.49531800,1.12032000,-1.49739000,0.62438700,-0.76787200
5.56444000,-0.94524100,-0.49537500,1.12026000,-1.49760000,0.62438800,-0.76768200
5.60878000,-0.94524100,-0.49537500,1.12026000,-1.49760000,0.62438800,-0.76768200
5.63879000,-0.94524100,-0.49554500,1.12008000,-1.49821000,0.62439300,-0.76711000
