time(s),joint1(rad),joint2(rad),joint3(rad),joint4(rad),joint5(rad),joint6(rad)
2.87684000,-0.94522500,-0.49026500,1.12574000,-1.47921000,0.62424700,-0.78483000
2.90684000,-0.94522500,-0.49032200,1.12568000,-1.47941000,0.62424900,-0.78463900
2.90684000,-0.94522600,-0.49037800,1.12562000,-1.47961000,0.62425000,-0.78444900
2.94751000,-0.94522600,-0.49043500,1.12556000,-1.47982000,0.62425200,-0.78425800
2.97751000,-0.94522600,-0.49049200,1.12550000,-1.48002000,0.62425300,-0.78406700
3.02045000,-0.94522600,-0.49054900,1.12544000,-1.48023000,0.62425500,-0.78387700
3.05045000,-0.94522600,-0.49060600,1.12538000,-1.48043000,0.62425600,-0.78368600
3.09257000,-0.94522600,-0.49066200,1.12532000,-1.48064000,0.62425800,-0.78349600
3.12257000,-0.94522700,-0.49071900,1.12526000,-1.48084000,0.62426000,-0.78330500
3.12257000,-0.94522700,-0.49077600,1.12519000,-1.48104000,0.62426100,-0.78311500
3.16467000,-0.94522700,-0.49083300,1.12513000,-1.48125000,0.62426300,-0.78292400
3.20646000,-0.94522700,-0.49088900,1.12507000,-1.48145000,0.62426400,-0.78273400
3.23647000,-0.94522700,-0.49094600,1.12501000,-1.48166000,0.62426600,-0.78254300
3.23647000,-0.94522700,-0.49100300,1.12495000,-1.48186000,0.62426700,-0.78235300
3.27858000,-0.94522800,-0.49106000,1.12489000,-1.48207000,0.62426900,-0.78216200
3.30858000,-0.94522800,-0.49111700,1.12483000,-1.48227000,0.62427100,-0.78197200
3.35480000,-0.94522800,-0.49117300,1.12477000,-1.48248000,0.62427200,-0.78178100
3.38480000,-0.94522800,-0.49123000,1.12471000,-1.48268000,0.62427400,-0.78159100
3.38480000,-0.94522800,-0.49128700,1.12465000,-1.48288000,0.62427500,-0.78140000
3.42744000,-0.94522900,-0.49134400,1.12459000,-1.48309000,0.62427700,-0.78121000
3.45744000,-0.94522900,-0.49140000,1.12452000,-1.48329000,0.62427800,-0.78101900
3.50013000,-0.94522900,-0.49145700,1.12446000,-1.48350000,0.62428000,-0.78082900
3.53013000,-0.94522900,-0.49151400,1.12440000,-1.48370000,0.62428200,-0.78063800
3.53013000,-0.94522900,-0.49157100,1.12434000,-1.48391000,0.62428300,-0.78044700
3.57303000,-0.94522900,-0.49162700,1.12428000,-1.48411000,0.62428500,-0.78025700
3.60304000,-0.94523000,-0.49168400,1.12422000,-1.48431000,0.62428600,-0.78006600
3.64484000,-0.94523000,-0.49174100,1.12416000,-1.48452000,0.62428800,-0.77987600
3.68648000,-0.94523000,-0.49179800,1.12410000,-1.48472000,0.62428900,-0.77968500
3.71648000,-0.94523000,-0.49185500,1.12404000,-1.48493000,0.62429100,-0.77949500
3.71648000,-0.94523000,-0.49191100,1.12398000,-1.48513000,0.62429200,-0.77930400
3.76217000,-0.94523000,-0.49196800,1.12392000,-1.48534000,0.62429400,-0.77911400
3.81199000,-0.94523100,-0.49202500,1.12385000,-1.48554000,0.62429600,-0.77892300
3.84199000,-0.94523100,-0.49208200,1.12379000,-1.48574000,0.62429700,-0.77873300
3.84199000,-0.94523100,-0.49213800,1.12373000,-1.48595000,0.62429900,-0.77854200
3.88467000,-0.94523100,-0.49219500,1.12367000,-1.48615000,0.62430000,-0.77835200
3.92652000,-0.94523100,-0.49225200,1.12361000,-1.48636000,0.62430200,-0.77816100
3.95653000,-0.94523100,-0.49230900,1.12355000,-1.48656000,0.62430300,-0.77797100
3.95653000,-0.94523200,-0.49236600,1.12349000,-1.48677000,0.62430500,-0.77778000
3.99989000,-0.94523200,-0.49242200,1.12343000,-1.48697000,0.62430700,-0.77759000
4.02990000,-0.94523200,-0.49247900,1.12337000,-1.48718000,0.62430800,-0.77739900
4.07451000,-0.94523200,-0.49253600,1.12331000,-1.48738000,0.62431000,-0.77720800
4.10451000,-0.94523200,-0.49259300,1.12324000,-1.48758000,0.62431100,-0.77701800
4.10451000,-0.94523300,-0.49264900,1.12318000,-1.48779000,0.62431300,-0.77682700
4.16563000,-0.94523300,-0.49270600,1.12312000,-1.48799000,0.62431400,-0.77663700
4.19564000,-0.94523300,-0.49276300,1.12306000,-1.48820000,0.62431600,-0.77644600
4.19564000,-0.94523300,-0.49282000,1.12300000,-1.48840000,0.62431800,-0.77625600
4.23834000,-0.94523300,-0.49287700,1.12294000,-1.48861000,0.62431900,-0.77606500
4.26834000,-0.94523300,-0.49293300,1.12288000,-1.48881000,0.62432100,-0.77587500
4.31374000,-0.94523400,-0.49299000,1.12282000,-1.48901000,0.62432200,-0.77568400
4.34374000,-0.94523400,-0.49304700,1.12276000,-1.48922000,0.62432400,-0.77549300
4.34374000,-0.94523400,-0.49310400,1.12270000,-1.48942000,0.62432500,-0.77530300
4.38676000,-0.94523400,-0.49316000,1.12264000,-1.48963000,0.62432700,-0.77511200
4.41676000,-0.94523400,-0.49321700,1.12257000,-1.48983000,0.62432900,-0.77492200
4.45913000,-0.94523400,-0.49327400,1.12251000,-1.49004000,0.62433000,-0.77473100
4.48914000,-0.94523500,-0.49333100,1.12245000,-1.49024000,0.62433200,-0.77454100
4.53183000,-0.94523500,-0.49338800,1.12239000,-1.49045000,0.62433300,-0.77435000
4.56183000,-0.94523500,-0.49344400,1.12233000,-1.49065000,0.62433500,-0.77416000
4.56183000,-0.94523500,-0.49350100,1.12227000,-1.49085000,0.62433600,-0.77396900
4.60429000,-0.94523500,-0.49355800,1.12221000,-1.49106000,0.62433800,-0.77377900
4.63429000,-0.94523600,-0.49361500,1.12215000,-1.49126000,0.62434000,-0.77358800
4.67763000,-0.94523600,-0.49367100,1.12209000,-1.49147000,0.62434100,-0.77339800
4.70763000,-0.94523600,-0.49372800,1.12203000,-1.49167000,0.62434300,-0.77320700
4.70763000,-0.94523600,-0.49378500,1.12196000,-1.49188000,0.62434400,-0.77301700
4.75122000,-0.94523600,-0.49384200,1.12190000,-1.49208000,0.62434600,-0.77282600
4.78122000,-0.94523600,-0.49389800,1.12184000,-1.49228000,0.62434700,-0.77263600
4.82944000,-0.94523700,-0.49395500,1.12178000,-1.49249000,0.62434900,-0.77244500
4.85944000,-0.94523700,-0.49401200,1.12172000,-1.49269000,0.62435100,-0.77225400
4.85944000,-0.94523700,-0.49406900,1.12166000,-1.49290000,0.62435200,-0.77206400
4.90387000,-0.94523700,-0.49412600,1.12160000,-1.49310000,0.62435400,-0.77187300
4.93387000,-0.94523700,-0.49418200,1.12154000,-1.49331000,0.62435500,-0.77168300
4.97669000,-0.94523700,-0.49423900,1.12148000,-1.49351000,0.62435700,-0.77149200
5.00670000,-0.94523800,-0.49429600,1.12142000,-1.49371000,0.62435800,-0.77130200
5.00670000,-0.94523800,-0.49435300,1.12136000,-1.49392000,0.62436000,-0.77111100
5.05045000,-0.94523800,-0.49440900,1.12129000,-1.49412000,0.62436200,-0.77092100
5.08045000,-0.94523800,-0.49446600,1.12123000,-1.49433000,0.62436300,-0.77073000
5.12437000,-0.94523800,-0.49452300,1.12117000,-1.49453000,0.62436500,-0.77054000
5.15437000,-0.94523900,-0.49458000,1.12111000,-1.49474000,0.62436600,-0.77034900
5.15437000,-0.94523900,-0.49463700,1.12105000,-1.49494000,0.62436800,-0.77015900
5.19673000,-0.94523900,-0.49469300,1.12099000,-1.49515000,0.62436900,-0.76996800
5.22673000,-0.94523900,-0.49475000,1.12093000,-1.49535000,0.62437100,-0.76977800
5.27253000,-0.94523900,-0.49480700,1.12087000,-1.49555000,0.62437200,-0.76958700
5.30253000,-0.94523900,-0.49486400,1.12081000,-1.49576000,0.62437400,-0.76939700
5.30253000,-0.94524000,-0.49492000,1.12075000,-1.49596000,0.62437600,-0.76920600
5.34550000,-0.94524000,-0.49497700,1.12068000,-1.49617000,0.62437700,-0.76901600
5.37551000,-0.94524000,-0.49503400,1.12062000,-1.49637000,0.62437900,-0.76882500
5.41803000,-0.94524000,-0.49509100,1.12056000,-1.49658000,0.62438000,-0.76863400
5.44803000,-0.94524000,-0.49514700,1.12050000,-1.49678000,0.62438200,-0.76844400
