time(s),joint1(rad),joint2(rad),joint3(rad),joint4(rad),joint5(rad),joint6(rad)
2.65440000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871500,-0.84077800
2.65440000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
2.68440000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
2.72549000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
2.72549000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
2.75549000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
2.79645000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
2.79645000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
2.79645000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
2.82646000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
2.86750000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
2.86750000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
2.89750000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
2.93840000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
2.93840000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
2.96840000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
3.00943000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
3.00943000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
3.03944000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
3.08145000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
3.08145000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
3.08145000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
3.08145000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
3.08145000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
3.11145000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
3.15341000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
3.18341000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
3.22821000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
3.25821000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
3.30406000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
3.34942000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
3.37942000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
3.42135000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
3.45136000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
3.49344000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
3.52345000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
3.56542000,0.90730500,0.70606200,-0.94299900,-1.64117000,0.73871900,-0.84077800
3.59542000,0.90730500,0.70607000,-0.94299500,-1.64117000,0.73871900,-0.84077800
3.63839000,0.90730500,0.70607300,-0.94299500,-1.64117000,0.73871500,-0.84077800
3.66839000,0.90730900,0.70607000,-0.94299500,-1.64117000,0.73871500,-0.84077800
3.71033000,0.90730900,0.70607300,-0.94299500,-1.64116000,0.73871500,-0.84077800
3.75339000,0.90730900,0.70607300,-0.94299500,-1.64116000,0.73871500,-0.84077800
3.78339000,0.90730900,0.70607300,-0.94299500,-1.64116000,0.73871500,-0.84077800
3.82552000,0.90730900,0.70607300,-0.94299100,-1.64115000,0.73871100,-0.84077800
