time(s),joint1(rad),joint2(rad),joint3(rad),joint4(rad),joint5(rad),joint6(rad)
3.15341000,0.90730600,0.70606300,-0.94299500,-1.64117000,0.73871600,-0.84077800
3.18341000,0.90730700,0.70606400,-0.94299200,-1.64116000,0.73871300,-0.84077800
3.22821000,0.90730700,0.70606400,-0.94299200,-1.64116000,0.73871300,-0.84077800
3.25821000,0.90730800,0.70606600,-0.94298800,-1.64115000,0.73870800,-0.84077800
3.30406000,0.90730800,0.70606700,-0.94298600,-1.64115000,0.73870700,-0.84077800
3.34942000,0.90730800,0.70606700,-0.94298600,-1.64115000,0.73870700,-0.84077800
3.37942000,0.90730900,0.70606800,-0.94298100,-1.64115000,0.73870200,-0.84077800
3.42135000,0.90730900,0.70606800,-0.94298100,-1.64115000,0.73870200,-0.84077800
3.45136000,0.90731000,0.70606900,-0.94297800,-1.64114000,0.73869900,-0.84077800
3.49344000,0.90731000,0.70606900,-0.94297800,-1.64114000,0.73869900,-0.84077800
3.52345000,0.90731100,0.70607100,-0.94297300,-1.64113000,0.73869400,-0.84077800
3.56542000,0.90731100,0.70607100,-0.94297300,-1.64113000,0.73869400,-0.84077800
3.59542000,0.90731200,0.70607200,-0.94297000,-1.64113000,0.73869100,-0.84077800
3.63839000,0.90731200,0.70607200,-0.94297000,-1.64113000,0.73869100,-0.84077800
3.66839000,0.90731300,0.70607300,-0.94296700,-1.64112000,0.73868800,-0.84077800
3.71033000,0.90731400,0.70607400,-0.94296400,-1.64112000,0.73868500,-0.84077800
3.75339000,0.90731400,0.70607400,-0.94296400,-1.64112000,0.73868500,-0.84077800
3.78339000,0.90731500,0.70607500,-0.94296100,-1.64111000,0.73868200,-0.84077800
3.82552000,0.90731500,0.70607500,-0.94296100,-1.64111000,0.73868200,-0.84077800
3.85552000,0.90731600,0.70607600,-0.94295600,-1.64111000,0.73867800,-0.84077800
3.89744000,0.90731600,0.70607600,-0.94295600,-1.64111000,0.73867800,-0.84077800
3.92745000,0.90731700,0.70607700,-0.94295300,-1.64110000,0.73867400,-0.84077800
3.97092000,0.90731700,0.70607700,-0.94295300,-1.64110000,0.73867400,-0.84077800
4.00092000,0.90731700,0.70607800,-0.94295000,-1.64110000,0.73867100,-0.84077800
4.04267000,0.90731700,0.70607800,-0.94295000,-1.64110000,0.73867100,-0.84077800
4.07267000,0.90731900,0.70608000,-0.94294500,-1.64109000,0.73866700,-0.84077800
4.11445000,0.90731900,0.70608100,-0.94294400,-1.64109000,0.73866500,-0.84077800
4.15848000,0.90731900,0.70608100,-0.94294400,-1.64109000,0.73866500,-0.84077800
4.18849000,0.90732000,0.70608200,-0.94293900,-1.64108000,0.73866100,-0.84077800
4.23080000,0.90732000,0.70608200,-0.94293900,-1.64108000,0.73866100,-0.84077800
4.26081000,0.90732100,0.70608300,-0.94293600,-1.64108000,0.73865800,-0.84077800
4.30255000,0.90732100,0.70608300,-0.94293600,-1.64108000,0.73865800,-0.84077800
4.33256000,0.90732200,0.70608500,-0.94293100,-1.64107000,0.73865300,-0.84077800
4.37549000,0.90732200,0.70608500,-0.94293100,-1.64107000,0.73865300,-0.84077800
4.40549000,0.90732300,0.70608600,-0.94292800,-1.64107000,0.73865000,-0.84077800
4.44753000,0.90732300,0.70608600,-0.94292800,-1.64107000,0.73865000,-0.84077800
4.47753000,0.90732400,0.70608700,-0.94292500,-1.64106000,0.73864700,-0.84077800
4.51957000,0.90732400,0.70608700,-0.94292500,-1.64106000,0.73864700,-0.84077800
4.54958000,0.90732500,0.70608800,-0.94292000,-1.64105000,0.73864200,-0.84077800
4.59156000,0.90732500,0.70608800,-0.94292000,-1.64105000,0.73864200,-0.84077800
4.62157000,0.90732600,0.70608900,-0.94291700,-1.64105000,0.73863900,-0.84077800
4.66352000,0.90732600,0.70608900,-0.94291700,-1.64105000,0.73863900,-0.84077800
4.69353000,0.90732700,0.70609100,-0.94291200,-1.64104000,0.73863500,-0.84077800
4.73587000,0.90732700,0.70609100,-0.94291200,-1.64104000,0.73863500,-0.84077800
4.76588000,0.90732700,0.70609100,-0.94291100,-1.64104000,0.73863300,-0.84077800
4.82651000,0.90732800,0.70609200,-0.94290700,-1.64103000,0.73863000,-0.84077800
4.85651000,0.90732900,0.70609300,-0.94290400,-1.64103000,0.73862700,-0.84077800
4.89964000,0.90732900,0.70609300,-0.94290400,-1.64103000,0.73862700,-0.84077800
4.92964000,0.90733000,0.70609400,-0.94290100,-1.64103000,0.73862400,-0.84077800
4.97157000,0.90733000,0.70609400,-0.94290100,-1.64103000,0.73862400,-0.84077800
5.00157000,0.90733100,0.70609600,-0.94289600,-1.64102000,0.73861900,-0.84077900
5.04355000,0.90733100,0.70609600,-0.94289600,-1.64102000,0.73861900,-0.84077900
5.07355000,0.90733200,0.70609700,-0.94289300,-1.64101000,0.73861600,-0.84077900
5.11644000,0.90733200,0.70609700,-0.94289300,-1.64101000,0.73861600,-0.84077900
5.14645000,0.90733300,0.70609900,-0.94288800,-1.64101000,0.73861200,-0.84077900
5.18843000,0.90733300,0.70609900,-0.94288800,-1.64101000,0.73861200,-0.84077900
5.21843000,0.90733400,0.70610000,-0.94288500,-1.64100000,0.73860900,-0.84077900
5.26052000,0.90733400,0.70610000,-0.94288500,-1.64100000,0.73860900,-0.84077900
5.29052000,0.90733400,0.70610100,-0.94288200,-1.64100000,0.73860600,-0.84077900
5.33242000,0.90733400,0.70610100,-0.94288200,-1.64100000,0.73860600,-0.84077900
5.36243000,0.90733600,0.70610200,-0.94287700,-1.64099000,0.73860100,-0.84077900
5.40448000,0.90733600,0.70610300,-0.94287600,-1.64099000,0.73860000,-0.84077900
5.44649000,0.90733600,0.70610300,-0.94287600,-1.64099000,0.73860000,-0.84077900
5.47649000,0.90733700,0.70610400,-0.94287100,-1.64098000,0.73859500,-0.84077900
5.51840000,0.90733700,0.70610400,-0.94287100,-1.64098000,0.73859500,-0.84077900
5.54841000,0.90733800,0.70610500,-0.94286800,-1.64098000,0.73859200,-0.84077900
5.59272000,0.90733800,0.70610500,-0.94286800,-1.64098000,0.73859200,-0.84077900
5.62272000,0.90733900,0.70610600,-0.94286500,-1.64097000,0.73858900,-0.84077900
5.66446000,0.90733900,0.70610700,-0.94286300,-1.64097000,0.73858700,-0.84077900
5.69446000,0.90734000,0.70610800,-0.94286000,-1.64096000,0.73858400,-0.84077900
5.73639000,0.90734000,0.70610800,-0.94286000,-1.64096000,0.73858400,-0.84077900
5.76639000,0.90734100,0.70610900,-0.94285700,-1.64096000,0.73858100,-0.84077900
5.82751000,0.90734100,0.70611000,-0.94285500,-1.64096000,0.73858000,-0.84077900
5.85751000,0.90734200,0.70611100,-0.94285200,-1.64095000,0.73857700,-0.84077900
5.89961000,0.90734200,0.70611100,-0.94285200,-1.64095000,0.73857700,-0.84077900
5.92961000,0.90734300,0.70611200,-0.94284800,-1.64095000,0.73857200,-0.84077900
5.97247000,0.90734300,0.70611200,-0.94284800,-1.64095000,0.73857200,-0.84077900
6.00247000,0.90734400,0.70611300,-0.94284400,-1.64094000,0.73856900,-0.84077900
6.04657000,0.90734400,0.70611300,-0.94284400,-1.64094000,0.73856900,-0.84077900
6.07657000,0.90734500,0.70611500,-0.94284000,-1.64093000,0.73856400,-0.84077900
6.11842000,0.90734500,0.70611500,-0.94284000,-1.64093000,0.73856400,-0.84077900
6.14842000,0.90734600,0.70611600,-0.94283700,-1.64093000,0.73856100,-0.84077900
6.19047000,0.90734600,0.70611600,-0.94283700,-1.64093000,0.73856100,-0.84077900
6.22047000,0.90734700,0.70611700,-0.94283300,-1.64092000,0.73855800,-0.84077900
6.26245000,0.90734700,0.70611700,-0.94283300,-1.64092000,0.73855800,-0.84077900
6.29245000,0.90734800,0.70611800,-0.94282900,-1.64092000,0.73855400,-0.84077900
6.33455000,0.90734800,0.70611900,-0.94282700,-1.64091000,0.73855200,-0.84077900
6.37765000,0.90734800,0.70611900,-0.94282700,-1.64091000,0.73855200,-0.84077900
6.40766000,0.90735000,0.70612000,-0.94282200,-1.64091000,0.73854800,-0.84077900
6.45047000,0.90735000,0.70612000,-0.94282200,-1.64091000,0.73854800,-0.84077900
6.48048000,0.90735000,0.70612100,-0.94281900,-1.64090000,0.73854500,-0.84077900
6.52262000,0.90735000,0.70612100,-0.94281900,-1.64090000,0.73854500,-0.84077900
6.55263000,0.90735200,0.70612300,-0.94281500,-1.64090000,0.73854000,-0.84077900
6.59549000,0.90735200,0.70612300,-0.94281500,-1.64090000,0.73854000,-0.84077900
6.62549000,0.90735200,0.70612400,-0.94281100,-1.64089000,0.73853700,-0.84077900
6.66761000,0.90735200,0.70612400,-0.94281100,-1.64089000,0.73853700,-0.84077900
6.69761000,0.90735300,0.70612500,-0.94280800,-1.64089000,0.73853400,-0.84077900
6.74048000,0.90735300,0.70612500,-0.94280800,-1.64089000,0.73853400,-0.84077900
6.77049000,0.90735400,0.70612600,-0.94280500,-1.64088000,0.73853100,-0.84077900
6.83045000,0.90735400,0.70612700,-0.94280300,-1.64088000,0.73852900,-0.84077900
6.86046000,0.90735600,0.70612800,-0.94279900,-1.64087000,0.73852500,-0.84077900
6.90353000,0.90735600,0.70612800,-0.94279900,-1.64087000,0.73852500,-0.84077900
6.94649000,0.90735600,0.70612900,-0.94279700,-1.64087000,0.73852300,-0.84077900
6.97650000,0.90735700,0.70613000,-0.94279200,-1.64086000,0.73851900,-0.84077900
7.01852000,0.90735700,0.70613000,-0.94279200,-1.64086000,0.73851900,-0.84077900
7.04852000,0.90735800,0.70613100,-0.94278900,-1.64086000,0.73851500,-0.84077900
7.09053000,0.90735800,0.70613100,-0.94278900,-1.64086000,0.73851500,-0.84077900
7.12053000,0.90735900,0.70613200,-0.94278600,-1.64085000,0.73851200,-0.84077900
7.16253000,-1.03954000,-0.50212900,1.30221000,1.85489000,-0.47019900,0.24237100
7.19253000,0.90736000,0.70613400,-0.94278100,-1.64085000,0.73850800,-0.84077900
7.27493000,0.90736000,0.70613400,-0.94278000,-1.64084000,0.73850600,-0.84077900
7.30494000,0.90736100,0.70613600,-0.94277500,-1.64084000,0.73850200,-0.84077900
7.34751000,0.90736100,0.70613600,-0.94277500,-1.64084000,0.73850200,-0.84077900
7.37752000,0.90736200,0.70613700,-0.94277200,-1.64083000,0.73849900,-0.84077900
7.42046000,0.90736200,0.70613700,-0.94277200,-1.64083000,0.73849900,-0.84077900
7.45047000,0.90736300,0.70613800,-0.94276900,-1.64083000,0.73849600,-0.84077900
7.49341000,0.90736300,0.70613800,-0.94276900,-1.64083000,0.73849600,-0.84077900
7.52341000,0.90736400,0.70614000,-0.94276400,-1.64082000,0.73849100,-0.84077900
7.56647000,0.90736400,0.70614000,-0.94276400,-1.64082000,0.73849100,-0.84077900
7.59647000,0.90736500,0.70614100,-0.94276100,-1.64082000,0.73848800,-0.84077900
7.63845000,0.90736500,0.70614100,-0.94276100,-1.64082000,0.73848800,-0.84077900
7.66846000,0.90736600,0.70614200,-0.94275600,-1.64081000,0.73848300,-0.84077900
7.71083000,0.90736600,0.70614200,-0.94275600,-1.64081000,0.73848300,-0.84077900
7.74083000,0.90736700,0.70614300,-0.94275300,-1.64080000,0.73848000,-0.84077900
7.78352000,0.90736700,0.70614300,-0.94275300,-1.64080000,0.73848000,-0.84077900
7.81353000,0.90736800,0.70614500,-0.94274800,-1.64080000,0.73847600,-0.84077900
7.85557000,0.90736800,0.70614500,-0.94274800,-1.64080000,0.73847600,-0.84077900
7.88557000,0.90736900,0.70614600,-0.94274500,-1.64079000,0.73847300,-0.84077900
7.92757000,0.90736900,0.70614600,-0.94274500,-1.64079000,0.73847300,-0.84077900
7.95757000,0.90737000,0.70614700,-0.94274200,-1.64079000,0.73847000,-0.84077900
7.99943000,0.90737000,0.70614700,-0.94274200,-1.64079000,0.73847000,-0.84077900
8.02943000,0.90737100,0.70614800,-0.94273700,-1.64078000,0.73846500,-0.84077900
8.07142000,0.90737100,0.70614800,-0.94273700,-1.64078000,0.73846500,-0.84077900
8.10142000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
8.14462000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
8.17462000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
8.21650000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
8.24650000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
8.28865000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
8.31866000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
8.36043000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
8.39044000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
8.43348000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
8.47657000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
8.50657000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
8.54855000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
8.57855000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
8.62044000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
8.65045000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
8.69239000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
8.72240000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
8.76440000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
8.83149000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
8.86149000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
8.90342000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
8.93342000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
9.01541000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
9.04541000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
9.08741000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
9.11741000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
9.15942000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
9.18942000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
9.23148000,0.90737100,0.70614900,-0.94273600,-1.64078000,0.73846400,-0.84077900
