time(s),joint1(rad),joint2(rad),joint3(rad),joint4(rad),joint5(rad),joint6(rad)
3.11602000,1.03271000,0.16847600,-1.15297000,1.74213000,-0.50111500,-4.18034000
3.11602000,1.03271000,0.16847600,-1.15297000,1.74213000,-0.50111500,-4.18034000
3.14602000,1.03278000,0.16875800,-1.15269000,1.74267000,-0.50165600,-4.17885000
3.18900000,1.03286000,0.16904000,-1.15241000,1.74322000,-0.50219700,-4.17736000
3.23090000,1.03293000,0.16932300,-1.15213000,1.74376000,-0.50273800,-4.17588000
3.26090000,1.03300000,0.16960500,-1.15184000,1.74430000,-0.50327900,-4.17439000
3.26090000,1.03307000,0.16988700,-1.15156000,1.74485000,-0.50382000,-4.17290000
3.30457000,1.03315000,0.17016900,-1.15128000,1.74539000,-0.50436200,-4.17141000
3.33457000,1.03322000,0.17045100,-1.15099000,1.74594000,-0.50490300,-4.16992000
3.37903000,1.03329000,0.17073300,-1.15071000,1.74648000,-0.50544400,-4.16843000
3.40903000,1.03337000,0.17101500,-1.15043000,1.74703000,-0.50598500,-4.16695000
3.40903000,1.03344000,0.17129700,-1.15014000,1.74757000,-0.50652600,-4.16546000
3.45159000,1.03351000,0.17158000,-1.14986000,1.74812000,-0.50706700,-4.16397000
3.48160000,1.03358000,0.17186200,-1.14958000,1.74866000,-0.50760800,-4.16248000
3.52666000,1.03366000,0.17214400,-1.14930000,1.74920000,-0.50814900,-4.16099000
3.55666000,1.03373000,0.17242600,-1.14901000,1.74975000,-0.50869000,-4.15950000
3.55666000,1.03380000,0.17270800,-1.14873000,1.75029000,-0.50923100,-4.15802000
3.59999000,1.03387000,0.17299000,-1.14845000,1.75084000,-0.50977200,-4.15653000
3.63000000,1.03395000,0.17327200,-1.14816000,1.75138000,-0.51031300,-4.15504000
3.63000000,1.03402000,0.17355400,-1.14788000,1.75193000,-0.51085400,-4.15355000
3.71172000,1.03409000,0.17383600,-1.14760000,1.75247000,-0.51139600,-4.15206000
3.74172000,1.03416000,0.17411900,-1.14731000,1.75302000,-0.51193700,-4.15057000
3.74172000,1.03424000,0.17440100,-1.14703000,1.75356000,-0.51247800,-4.14908000
3.78486000,1.03431000,0.17468300,-1.14675000,1.75411000,-0.51301900,-4.14760000
3.81486000,1.03438000,0.17496500,-1.14647000,1.75465000,-0.51356000,-4.14611000
3.85803000,1.03445000,0.17524700,-1.14618000,1.75519000,-0.51410100,-4.14462000
3.88803000,1.03453000,0.17552900,-1.14590000,1.75574000,-0.51464200,-4.14313000
3.88803000,1.03460000,0.17581100,-1.14562000,1.75628000,-0.51518300,-4.14164000
3.92991000,1.03467000,0.17609300,-1.14533000,1.75683000,-0.51572400,-4.14015000
3.95991000,1.03475000,0.17637500,-1.14505000,1.75737000,-0.51626500,-4.13867000
4.00216000,1.03482000,0.17665800,-1.14477000,1.75792000,-0.51680600,-4.13718000
4.03216000,1.03489000,0.17694000,-1.14448000,1.75846000,-0.51734700,-4.13569000
4.07391000,1.03496000,0.17722200,-1.14420000,1.75901000,-0.51788800,-4.13420000
4.10391000,1.03504000,0.17750400,-1.14392000,1.75955000,-0.51843000,-4.13271000
4.10391000,1.03511000,0.17778600,-1.14363000,1.76010000,-0.51897100,-4.13122000
4.14711000,1.03518000,0.17806800,-1.14335000,1.76064000,-0.51951200,-4.12973000
4.18979000,1.03525000,0.17835000,-1.14307000,1.76118000,-0.52005300,-4.12825000
4.21979000,1.03533000,0.17863200,-1.14279000,1.76173000,-0.52059400,-4.12676000
4.21979000,1.03540000,0.17891500,-1.14250000,1.76227000,-0.52113500,-4.12527000
4.26384000,1.03547000,0.17919700,-1.14222000,1.76282000,-0.52167600,-4.12378000
4.29384000,1.03554000,0.17947900,-1.14194000,1.76336000,-0.52221700,-4.12229000
4.33630000,1.03562000,0.17976100,-1.14165000,1.76391000,-0.52275800,-4.12080000
4.36630000,1.03569000,0.18004300,-1.14137000,1.76445000,-0.52329900,-4.11932000
4.36630000,1.03576000,0.18032500,-1.14109000,1.76500000,-0.52384000,-4.11783000
4.41155000,1.03583000,0.18060700,-1.14080000,1.76554000,-0.52438100,-4.11634000
4.44156000,1.03591000,0.18088900,-1.14052000,1.76608000,-0.52492300,-4.11485000
4.48491000,1.03598000,0.18117100,-1.14024000,1.76663000,-0.52546400,-4.11336000
4.51491000,1.03605000,0.18145400,-1.13996000,1.76717000,-0.52600500,-4.11187000
4.51491000,1.03613000,0.18173600,-1.13967000,1.76772000,-0.52654600,-4.11039000
4.55715000,1.03620000,0.18201800,-1.13939000,1.76826000,-0.52708700,-4.10890000
4.58715000,1.03627000,0.18230000,-1.13911000,1.76881000,-0.52762800,-4.10741000
4.58715000,1.03634000,0.18258200,-1.13882000,1.76935000,-0.52816900,-4.10592000
4.66869000,1.03642000,0.18286400,-1.13854000,1.76990000,-0.52871000,-4.10443000
4.69869000,1.03649000,0.18314600,-1.13826000,1.77044000,-0.52925100,-4.10294000
4.69869000,1.03656000,0.18342800,-1.13797000,1.77099000,-0.52979200,-4.10146000
4.74154000,1.03663000,0.18371000,-1.13769000,1.77153000,-0.53033300,-4.09997000
4.77154000,1.03671000,0.18399300,-1.13741000,1.77207000,-0.53087400,-4.09848000
4.81534000,1.03678000,0.18427500,-1.13713000,1.77262000,-0.53141500,-4.09699000
4.84534000,1.03685000,0.18455700,-1.13684000,1.77316000,-0.53195600,-4.09550000
4.84534000,1.03692000,0.18483900,-1.13656000,1.77371000,-0.53249700,-4.09401000
4.88809000,1.03700000,0.18512100,-1.13628000,1.77425000,-0.53303900,-4.09253000
4.91809000,1.03707000,0.18540300,-1.13599000,1.77480000,-0.53358000,-4.09104000
4.96192000,1.03714000,0.18568500,-1.13571000,1.77534000,-0.53412100,-4.08955000
4.99193000,1.03721000,0.18596700,-1.13543000,1.77589000,-0.53466200,-4.08806000
5.03406000,1.03729000,0.18624900,-1.13514000,1.77643000,-0.53520300,-4.08657000
5.06406000,1.03736000,0.18653200,-1.13486000,1.77697000,-0.53574400,-4.08508000
5.06406000,1.03743000,0.18681400,-1.13458000,1.77752000,-0.53628500,-4.08359000
5.10732000,1.03751000,0.18709600,-1.13430000,1.77806000,-0.53682600,-4.08211000
5.15277000,1.03758000,0.18737800,-1.13401000,1.77861000,-0.53736700,-4.08062000
5.18277000,1.03765000,0.18766000,-1.13373000,1.77915000,-0.53790800,-4.07913000
5.18277000,1.03772000,0.18794200,-1.13345000,1.77970000,-0.53844900,-4.07764000
5.22618000,1.03780000,0.18822400,-1.13316000,1.78024000,-0.53899000,-4.07615000
5.26765000,1.03787000,0.18850600,-1.13288000,1.78079000,-0.53953100,-4.07466000
5.29765000,1.03794000,0.18878800,-1.13260000,1.78133000,-0.54007200,-4.07318000
5.29765000,1.03801000,0.18907100,-1.13231000,1.78188000,-0.54061400,-4.07169000
5.34020000,1.03809000,0.18935300,-1.13203000,1.78242000,-0.54115500,-4.07020000
5.37020000,1.03816000,0.18963500,-1.13175000,1.78296000,-0.54169600,-4.06871000
5.41189000,1.03823000,0.18991700,-1.13146000,1.78351000,-0.54223700,-4.06722000
5.44190000,1.03830000,0.19019900,-1.13118000,1.78405000,-0.54277800,-4.06573000
5.48382000,1.03838000,0.19048100,-1.13090000,1.78460000,-0.54331900,-4.06425000
5.51382000,1.03845000,0.19076300,-1.13062000,1.78514000,-0.54386000,-4.06276000
5.51382000,1.03852000,0.19104500,-1.13033000,1.78569000,-0.54440100,-4.06127000
5.55590000,1.03860000,0.19132700,-1.13005000,1.78623000,-0.54494200,-4.05978000
5.58591000,1.03867000,0.19161000,-1.12977000,1.78678000,-0.54548300,-4.05829000
5.62804000,1.03874000,0.19189200,-1.12948000,1.78732000,-0.54602400,-4.05680000
5.65804000,1.03881000,0.19217400,-1.12920000,1.78786000,-0.54656500,-4.05532000
5.65804000,1.03889000,0.19245600,-1.12892000,1.78841000,-0.54710600,-4.05383000
5.71577000,1.03896000,0.19273800,-1.12863000,1.78895000,-0.54764700,-4.05234000
