time(s),joint1(rad),joint2(rad),joint3(rad),joint4(rad),joint5(rad),joint6(rad)
2.85486000,1.15778000,0.45239300,-1.19531000,1.47968000,-0.53316600,-3.95651000
2.88486000,1.15778000,0.45239500,-1.19531000,1.47967000,-0.53316700,-3.95652000
2.88486000,1.15778000,0.45239700,-1.19531000,1.47967000,-0.53316800,-3.95652000
2.92587000,1.15778000,0.45239900,-1.19531000,1.47967000,-0.53316900,-3.95652000
2.95587000,1.15778000,0.45240100,-1.19531000,1.47967000,-0.53317000,-3.95653000
2.99896000,1.15778000,0.45240300,-1.19531000,1.47967000,-0.53317100,-3.95653000
3.02896000,1.15778000,0.45240400,-1.19531000,1.47967000,-0.53317200,-3.95653000
3.02896000,1.15778000,0.45240600,-1.19530000,1.47967000,-0.53317300,-3.95653000
3.07090000,1.15778000,0.45240800,-1.19530000,1.47967000,-0.53317400,-3.95654000
3.10091000,1.15778000,0.45241000,-1.19530000,1.47967000,-0.53317500,-3.95654000
3.10091000,1.15778000,0.45241200,-1.19530000,1.47967000,-0.53317600,-3.95654000
3.18341000,1.15778000,0.45241400,-1.19530000,1.47967000,-0.53317700,-3.95654000
3.21341000,1.15778000,0.45241800,-1.19530000,1.47967000,-0.53317900,-3.95655000
3.21341000,1.15778000,0.45241600,-1.19530000,1.47967000,-0.53317800,-3.95655000
3.25721000,1.15778000,0.45242000,-1.19530000,1.47967000,-0.53317900,-3.95655000
3.28721000,1.15779000,0.45242200,-1.19530000,1.47966000,-0.53318000,-3.95655000
3.32942000,1.15779000,0.45242400,-1.19530000,1.47966000,-0.53318100,-3.95656000
3.35944000,1.15779000,0.45242600,-1.19530000,1.47966000,-0.53318200,-3.95656000
3.35944000,1.15779000,0.45242800,-1.19530000,1.47966000,-0.53318300,-3.95656000
3.40376000,1.15779000,0.45243000,-1.19530000,1.47966000,-0.53318400,-3.95656000
3.43376000,1.15779000,0.45243200,-1.19530000,1.47966000,-0.53318500,-3.95657000
3.47723000,1.15779000,0.45243400,-1.19530000,1.47966000,-0.53318600,-3.95657000
3.50723000,1.15779000,0.45243600,-1.19530000,1.47966000,-0.53318700,-3.95657000
3.50723000,1.15779000,0.45243800,-1.19530000,1.47966000,-0.53318800,-3.95657000
3.55071000,1.15779000,0.45244000,-1.19530000,1.47966000,-0.53318900,-3.95658000
3.58072000,1.15779000,0.45244200,-1.19530000,1.47966000,-0.53319000,-3.95658000
3.62516000,1.15779000,0.45244400,-1.19530000,1.47966000,-0.53319100,-3.95658000
3.65517000,1.15779000,0.45244600,-1.19530000,1.47966000,-0.53319200,-3.95658000
3.65517000,1.15779000,0.45244800,-1.19530000,1.47966000,-0.53319300,-3.95659000
3.69699000,1.15779000,0.45245000,-1.19530000,1.47965000,-0.53319400,-3.95659000
3.72700000,1.15779000,0.45245200,-1.19529000,1.47965000,-0.53319500,-3.95659000
3.76980000,1.15779000,0.45245400,-1.19529000,1.47965000,-0.53319500,-3.95659000
3.79980000,1.15780000,0.45245600,-1.19529000,1.47965000,-0.53319600,-3.95660000
3.84187000,1.15780000,0.45245800,-1.19529000,1.47965000,-0.53319700,-3.95660000
3.87188000,1.15780000,0.45246000,-1.19529000,1.47965000,-0.53319800,-3.95660000
3.87188000,1.15780000,0.45246200,-1.19529000,1.47965000,-0.53319900,-3.95661000
3.91593000,1.15780000,0.45246400,-1.19529000,1.47965000,-0.53320000,-3.95661000
3.94593000,1.15780000,0.45246600,-1.19529000,1.47965000,-0.53320100,-3.95661000
3.98783000,1.15780000,0.45246800,-1.19529000,1.47965000,-0.53320200,-3.95661000
4.01784000,1.15780000,0.45247200,-1.19529000,1.47965000,-0.53320400,-3.95662000
4.01784000,1.15780000,0.45247000,-1.19529000,1.47965000,-0.53320300,-3.95662000
4.05982000,1.15780000,0.45247400,-1.19529000,1.47965000,-0.53320500,-3.95662000
4.08982000,1.15780000,0.45247600,-1.19529000,1.47965000,-0.53320600,-3.95662000
4.13192000,1.15780000,0.45247800,-1.19529000,1.47964000,-0.53320700,-3.95663000
4.17388000,1.15780000,0.45248000,-1.19529000,1.47964000,-0.53320800,-3.95663000
4.20388000,1.15780000,0.45248200,-1.19529000,1.47964000,-0.53320900,-3.95663000
4.20388000,1.15780000,0.45248400,-1.19529000,1.47964000,-0.53321000,-3.95663000
4.24598000,1.15780000,0.45248600,-1.19529000,1.47964000,-0.53321100,-3.95664000
4.27598000,1.15781000,0.45248800,-1.19529000,1.47964000,-0.53321200,-3.95664000
4.31985000,1.15781000,0.45249000,-1.19529000,1.47964000,-0.53321200,-3.95664000
4.34985000,1.15781000,0.45249400,-1.19529000,1.47964000,-0.53321400,-3.95665000
4.34985000,1.15781000,0.45249200,-1.19529000,1.47964000,-0.53321300,-3.95664000
4.39278000,1.15781000,0.45249600,-1.19529000,1.47964000,-0.53321500,-3.95665000
4.42278000,1.15781000,0.45249800,-1.19528000,1.47964000,-0.53321600,-3.95665000
4.46492000,1.15781000,0.45250000,-1.19528000,1.47964000,-0.53321700,-3.95665000
4.49493000,1.15781000,0.45250200,-1.19528000,1.47964000,-0.53321800,-3.95666000
4.53683000,1.15781000,0.45250400,-1.19528000,1.47964000,-0.53321900,-3.95666000
4.56683000,1.15781000,0.45250600,-1.19528000,1.47963000,-0.53322000,-3.95666000
4.56683000,1.15781000,0.45250800,-1.19528000,1.47963000,-0.53322100,-3.95666000
4.60886000,1.15781000,0.45251000,-1.19528000,1.47963000,-0.53322200,-3.95667000
4.63886000,1.15781000,0.45251200,-1.19528000,1.47963000,-0.53322300,-3.95667000
4.68100000,1.15781000,0.45251400,-1.19528000,1.47963000,-0.53322400,-3.95667000
4.71100000,1.15781000,0.45251600,-1.19528000,1.47963000,-0.53322500,-3.95667000
4.71100000,1.15781000,0.45251800,-1.19528000,1.47963000,-0.53322600,-3.95668000
4.75348000,1.15781000,0.45252000,-1.19528000,1.47963000,-0.53322700,-3.95668000
4.78348000,1.15782000,0.45252200,-1.19528000,1.47963000,-0.53322800,-3.95668000
4.82613000,1.15782000,0.45252400,-1.19528000,1.47963000,-0.53322900,-3.95669000
4.85613000,1.15782000,0.45252800,-1.19528000,1.47963000,-0.53323000,-3.95669000
4.85613000,1.15782000,0.45252600,-1.19528000,1.47963000,-0.53322900,-3.95669000
4.90178000,1.15782000,0.45253000,-1.19528000,1.47963000,-0.53323100,-3.95669000
4.93179000,1.15782000,0.45253600,-1.19528000,1.47962000,-0.53323400,-3.95670000
4.93179000,1.15782000,0.45253400,-1.19528000,1.47962000,-0.53323300,-3.95670000
4.93179000,1.15782000,0.45254100,-1.19528000,1.47962000,-0.53323700,-3.95671000
4.93179000,1.15782000,0.45254300,-1.19527000,1.47962000,-0.53323800,-3.95671000
4.93179000,1.15782000,0.45253900,-1.19528000,1.47962000,-0.53323600,-3.95671000
4.93179000,1.15782000,0.45253700,-1.19528000,1.47962000,-0.53323500,-3.95670000
4.93179000,1.15782000,0.45253200,-1.19528000,1.47963000,-0.53323200,-3.95670000
4.93179000,1.15782000,0.45254500,-1.19527000,1.47962000,-0.53323900,-3.95671000
5.18240000,1.15782000,0.45254700,-1.19527000,1.47962000,-0.53324000,-3.95672000
5.22500000,1.15782000,0.45254900,-1.19527000,1.47962000,-0.53324100,-3.95672000
5.25501000,1.15782000,0.45255100,-1.19527000,1.47962000,-0.53324200,-3.95672000
5.25501000,1.15782000,0.45255300,-1.19527000,1.47962000,-0.53324300,-3.95672000
5.29864000,1.15783000,0.45255500,-1.19527000,1.47962000,-0.53324400,-3.95673000
5.32864000,1.15783000,0.45255700,-1.19527000,1.47962000,-0.53324500,-3.95673000
5.37159000,1.15783000,0.45255900,-1.19527000,1.47961000,-0.53324600,-3.95673000
5.40159000,1.15783000,0.45256100,-1.19527000,1.47961000,-0.53324600,-3.95673000
5.40159000,1.15783000,0.45256300,-1.19527000,1.47961000,-0.53324700,-3.95674000
5.44786000,1.15783000,0.45256500,-1.19527000,1.47961000,-0.53324800,-3.95674000
5.47786000,1.15783000,0.45256700,-1.19527000,1.47961000,-0.53324900,-3.95674000
5.52293000,1.15783000,0.45256900,-1.19527000,1.47961000,-0.53325000,-3.95674000
5.55293000,1.15783000,0.45257100,-1.19527000,1.47961000,-0.53325100,-3.95675000
5.55293000,1.15783000,0.45257300,-1.19527000,1.47961000,-0.53325200,-3.95675000
5.59651000,1.15783000,0.45257500,-1.19527000,1.47961000,-0.53325300,-3.95675000
5.62651000,1.15783000,0.45257700,-1.19527000,1.47961000,-0.53325400,-3.95675000
5.66891000,1.15783000,0.45257900,-1.19527000,1.47961000,-0.53325500,-3.95676000
5.69892000,1.15783000,0.45258100,-1.19527000,1.47961000,-0.53325600,-3.95676000
5.69892000,1.15783000,0.45258300,-1.19527000,1.47961000,-0.53325700,-3.95676000
5.75286000,1.15783000,0.45258500,-1.19527000,1.47961000,-0.53325800,-3.95677000
5.79641000,1.15783000,0.45258700,-1.19527000,1.47960000,-0.53325900,-3.95677000
5.82641000,1.15784000,0.45258900,-1.19527000,1.47960000,-0.53326000,-3.95677000
5.82641000,1.15784000,0.45259100,-1.19526000,1.47960000,-0.53326100,-3.95677000
5.86889000,1.15784000,0.45259300,-1.19526000,1.47960000,-0.53326200,-3.95678000
5.89889000,1.15784000,0.45259500,-1.19526000,1.47960000,-0.53326300,-3.95678000
5.94130000,1.15784000,0.45259700,-1.19526000,1.47960000,-0.53326300,-3.95678000
5.97130000,1.15784000,0.45259900,-1.19526000,1.47960000,-0.53326400,-3.95678000
5.97130000,1.15784000,0.45260100,-1.19526000,1.47960000,-0.53326500,-3.95679000
6.01310000,1.15784000,0.45260300,-1.19526000,1.47960000,-0.53326600,-3.95679000
6.04311000,1.15784000,0.45260500,-1.19526000,1.47960000,-0.53326700,-3.95679000
6.08542000,1.15784000,0.45260700,-1.19526000,1.47960000,-0.53326800,-3.95679000
6.11542000,1.15784000,0.45261100,-1.19526000,1.47960000,-0.53327000,-3.95680000
6.11542000,1.15784000,0.45260900,-1.19526000,1.47960000,-0.53326900,-3.95680000
6.15807000,1.15784000,0.45261300,-1.19526000,1.47960000,-0.53327100,-3.95680000
6.18808000,1.15784000,0.45261500,-1.19526000,1.47959000,-0.53327200,-3.95680000
6.23047000,1.15784000,0.45261700,-1.19526000,1.47959000,-0.53327300,-3.95681000
6.26047000,1.15784000,0.45261900,-1.19526000,1.47959000,-0.53327400,-3.95681000
6.30442000,1.15784000,0.45262100,-1.19526000,1.47959000,-0.53327500,-3.95681000
6.33442000,1.15785000,0.45262300,-1.19526000,1.47959000,-0.53327600,-3.95681000
6.33442000,1.15785000,0.45262500,-1.19526000,1.47959000,-0.53327700,-3.95682000
6.38062000,1.15785000,0.45262700,-1.19526000,1.47959000,-0.53327800,-3.95682000
6.41062000,1.15785000,0.45262900,-1.19526000,1.47959000,-0.53327900,-3.95682000
6.45413000,1.15785000,0.45263100,-1.19526000,1.47959000,-0.53328000,-3.95682000
6.48413000,1.15785000,0.45263300,-1.19526000,1.47959000,-0.53328000,-3.95683000
6.48413000,1.15785000,0.45263500,-1.19526000,1.47959000,-0.53328100,-3.95683000
6.52662000,1.15785000,0.45263700,-1.19525000,1.47959000,-0.53328200,-3.95683000
6.55663000,1.15785000,0.45263900,-1.19525000,1.47959000,-0.53328300,-3.95683000
6.60015000,1.15785000,0.45264100,-1.19525000,1.47959000,-0.53328400,-3.95684000
6.63015000,1.15785000,0.45264500,-1.19525000,1.47958000,-0.53328600,-3.95684000
6.63015000,1.15785000,0.45264300,-1.19525000,1.47958000,-0.53328500,-3.95684000
6.67336000,1.15785000,0.45264700,-1.19525000,1.47958000,-0.53328700,-3.95684000
6.70337000,1.15785000,0.45264900,-1.19525000,1.47958000,-0.53328800,-3.95685000
6.75491000,1.15785000,0.45265100,-1.19525000,1.47958000,-0.53328900,-3.95685000
6.78492000,1.15786000,0.45265500,-1.19525000,1.47958000,-0.53329100,-3.95686000
6.78492000,1.15785000,0.45265300,-1.19525000,1.47958000,-0.53329000,-3.95685000
6.82863000,1.15786000,0.45265700,-1.19525000,1.47958000,-0.53329200,-3.95686000
6.85863000,1.15786000,0.45265900,-1.19525000,1.47958000,-0.53329300,-3.95686000
6.90224000,1.15786000,0.45266100,-1.19525000,1.47958000,-0.53329400,-3.95686000
6.93225000,1.15786000,0.45266500,-1.19525000,1.47958000,-0.53329600,-3.95687000
6.93225000,1.15786000,0.45266300,-1.19525000,1.47958000,-0.53329500,-3.95687000
6.97509000,1.15786000,0.45266700,-1.19525000,1.47958000,-0.53329700,-3.95687000
7.00510000,1.15786000,0.45266900,-1.19525000,1.47958000,-0.53329700,-3.95687000
7.04895000,1.15786000,0.45267000,-1.19525000,1.47957000,-0.53329800,-3.95688000
7.07895000,1.15786000,0.45267400,-1.19525000,1.47957000,-0.53330000,-3.95688000
7.07895000,1.15786000,0.45267200,-1.19525000,1.47957000,-0.53329900,-3.95688000
7.07895000,1.15786000,0.45267600,-1.19525000,1.47957000,-0.53330100,-3.95688000
7.16418000,1.15786000,0.45267800,-1.19525000,1.47957000,-0.53330200,-3.95689000
7.19419000,1.15786000,0.45268000,-1.19525000,1.47957000,-0.53330300,-3.95689000
7.23704000,1.15786000,0.45268200,-1.19524000,1.47957000,-0.53330400,-3.95689000
7.26704000,1.15786000,0.45268600,-1.19524000,1.47957000,-0.53330600,-3.95690000
7.26704000,1.15786000,0.45268400,-1.19524000,1.47957000,-0.53330500,-3.95689000
7.30930000,1.15787000,0.45268800,-1.19524000,1.47957000,-0.53330700,-3.95690000
7.33931000,1.15787000,0.45269000,-1.19524000,1.47957000,-0.53330800,-3.95690000
7.38329000,1.15787000,0.45269200,-1.19524000,1.47957000,-0.53330900,-3.95690000
7.41330000,1.15787000,0.45269600,-1.19524000,1.47957000,-0.53331100,-3.95691000
7.41330000,1.15787000,0.45269400,-1.19524000,1.47957000,-0.53331000,-3.95691000
7.45746000,1.15787000,0.45269800,-1.19524000,1.47956000,-0.53331200,-3.95691000
7.48746000,1.15787000,0.45270000,-1.19524000,1.47956000,-0.53331300,-3.95691000
7.52998000,1.15787000,0.45270200,-1.19524000,1.47956000,-0.53331400,-3.95692000
7.55998000,1.15787000,0.45270400,-1.19524000,1.47956000,-0.53331400,-3.95692000
