time(s),joint1(rad),joint2(rad),joint3(rad),joint4(rad),joint5(rad),joint6(rad)
0.06086070,1.35287000,-0.03822660,-1.37621000,1.92146000,1.29601000,0.05077950
0.08088460,1.35287000,-0.03903130,-1.38156000,1.91690000,1.29601000,0.05078030
0.12450500,1.35287000,-0.03895740,-1.38107000,1.91732000,1.29601000,0.05078020
0.14450500,1.35287000,-0.03974500,-1.38640000,1.91278000,1.29601000,0.05078140
0.18730100,1.35287000,-0.04018820,-1.38944000,1.91017000,1.29601000,0.05078230
0.23195300,1.35287000,-0.04013900,-1.38908000,1.91048000,1.29601000,0.05078300
0.25195700,1.35287000,-0.04090380,-1.39439000,1.90593000,1.29601000,0.05078320
0.29675800,1.35287000,-0.04082530,-1.39383000,1.90640000,1.29601000,0.05078420
0.31675700,1.35287000,-0.04157860,-1.39915000,1.90183000,1.29601000,0.05078410
0.35929100,1.35287000,-0.04150330,-1.39860000,1.90230000,1.29601000,0.05078550
0.37929300,1.35287000,-0.04248210,-1.40566000,1.89623000,1.29601000,0.05078540
0.42253700,1.35287000,-0.04238030,-1.40490000,1.89687000,1.29601000,0.05078670
0.44253800,1.35287000,-0.04310490,-1.41023000,1.89228000,1.29601000,0.05078640
0.48523900,1.35287000,-0.04302720,-1.40965000,1.89278000,1.29601000,0.05078700
0.50524000,1.35287000,-0.04373770,-1.41495000,1.88818000,1.29600000,0.05078760
0.58784900,1.35287000,-0.04408560,-1.41753000,1.88592000,1.29600000,0.05078960
0.60784900,1.35287000,-0.04476330,-1.42279000,1.88137000,1.29600000,0.05078850
0.65247200,1.35287000,-0.04468100,-1.42213000,1.88193000,1.29600000,0.05078880
0.67247600,1.35287000,-0.04536100,-1.42747000,1.87728000,1.29600000,0.05078930
0.71688900,1.35287000,-0.04528480,-1.42685000,1.87782000,1.29600000,0.05078930
0.73689400,1.35287000,-0.04594150,-1.43209000,1.87323000,1.29600000,0.05078970
0.77938500,1.35287000,-0.04586990,-1.43151000,1.87374000,1.29600000,0.05079000
0.79938400,1.35287000,-0.04672620,-1.43850000,1.86761000,1.29600000,0.05079150
0.84301400,1.35287000,-0.04662790,-1.43769000,1.86833000,1.29600000,0.05079070
0.86301400,1.35287000,-0.04726220,-1.44299000,1.86366000,1.29600000,0.05079150
0.90681700,1.35287000,-0.04758530,-1.44572000,1.86125000,1.29600000,0.05079230
0.95650100,1.35287000,-0.04754260,-1.44537000,1.86155000,1.29600000,0.05079230
0.97650100,1.35287000,-0.04816330,-1.45073000,1.85683000,1.29600000,0.05079240
1.01992000,1.35287000,-0.04826980,-1.45168000,1.85598000,1.29600000,0.05079290
1.03992000,1.35287000,-0.04885430,-1.45685000,1.85139000,1.29600000,0.05079370
1.08187000,1.35287000,-0.04877900,-1.45619000,1.85197000,1.29600000,0.05079360
1.10187000,1.35287000,-0.04934810,-1.46135000,1.84738000,1.29600000,0.05079400
1.14434000,1.35287000,-0.04928330,-1.46077000,1.84790000,1.29600000,0.05079430
1.16434000,1.35287000,-0.04984330,-1.46596000,1.84327000,1.29600000,0.05079460
1.20734000,1.35287000,-0.05012540,-1.46864000,1.84087000,1.29600000,0.05079540
1.25091000,1.35287000,-0.05009770,-1.46838000,1.84110000,1.29600000,0.05079500
1.27091000,1.35287000,-0.05063590,-1.47352000,1.83649000,1.29600000,0.05079620
1.31364000,1.35287000,-0.05056430,-1.47287000,1.83707000,1.29600000,0.05079570
1.33364000,1.35287000,-0.05109130,-1.47805000,1.83242000,1.29600000,0.05079640
1.37700000,1.35287000,-0.05102240,-1.47740000,1.83300000,1.29600000,0.05079670
1.39700000,1.35287000,-0.05153530,-1.48256000,1.82835000,1.29600000,0.05079710
1.44043000,1.35287000,-0.05163280,-1.48360000,1.82741000,1.29600000,0.05079720
1.46043000,1.35287000,-0.05210730,-1.48855000,1.82293000,1.29600000,0.05079790
1.50508000,1.35287000,-0.05204250,-1.48792000,1.82351000,1.29600000,0.05079780
