time,solve_time,pos_x,pos_y,pos_z,roll,pitch,yaw,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
2e-05,2e-05,0.0992837,-0.569758,0.60874,89.4002,44.7028,73.8883,69.319,19.9808,-52.5722,112.335,-5.00943,-229.574
0.05868,0.000113,0.0992837,-0.569758,0.60874,89.4014,44.7028,74.2399,69.3252,20.054,-52.4702,112.312,-5.34056,-229.523
0.158676,0.000105,0.0992837,-0.569758,0.60874,89.4035,44.7029,74.8401,69.3374,20.1442,-52.3382,112.105,-5.93789,-229.27
0.258668,9.5e-05,0.0992837,-0.569758,0.60874,89.4055,44.7029,75.4403,69.3505,20.1466,-52.3157,111.567,-6.52191,-228.709
0.358673,9.8e-05,0.0992837,-0.569758,0.60874,89.4075,44.7029,76.0405,69.3649,20.2306,-52.1886,111.344,-7.10535,-228.441
0.458673,9.5e-05,0.0992837,-0.569758,0.60874,89.4096,44.7029,76.6408,69.3805,20.309,-52.0669,111.097,-7.68761,-228.149
0.558671,9e-05,0.0992837,-0.569758,0.60874,89.4116,44.7028,77.241,69.3972,20.4213,-51.9011,110.981,-8.26772,-227.978
0.658667,8.4e-05,0.0992837,-0.569758,0.60874,89.4137,44.7028,77.8412,69.4152,20.4934,-51.7842,110.706,-8.84896,-227.655
0.758664,8e-05,0.0992837,-0.569758,0.60874,89.4157,44.7027,78.4414,69.4342,20.6081,-51.6125,110.596,-9.42685,-227.487
0.858674,8.8e-05,0.0992837,-0.569758,0.60874,89.4177,44.7027,79.0416,69.4545,20.7223,-51.4401,110.481,-10.0049,-227.312
0.958674,8.6e-05,0.0992837,-0.569758,0.60874,89.4198,44.7026,79.6418,69.4751,20.8469,-51.2545,110.424,-10.563,-227.195
1.05869,0.000101,0.0992837,-0.569758,0.60874,89.4218,44.7025,80.2421,69.4984,20.9654,-51.0729,110.305,-11.1576,-227.007
1.15868,8.3e-05,0.0992837,-0.569758,0.60874,89.4239,44.7024,80.8423,69.5212,21.0915,-50.883,110.25,-11.7136,-226.89
1.25868,8.4e-05,0.0992837,-0.569758,0.60874,89.4259,44.7022,81.4425,69.5459,21.223,-50.6842,110.197,-12.2866,-226.768
1.35868,8e-05,0.0992837,-0.569758,0.60874,89.4279,44.7021,82.0427,69.5718,21.3556,-50.4826,110.146,-12.8591,-226.646
1.45867,7.7e-05,0.0992837,-0.569758,0.60874,89.43,44.7019,82.6429,69.5987,21.4897,-50.278,110.1,-13.4305,-226.527
1.55868,7.8e-05,0.0992837,-0.569758,0.60874,89.432,44.7017,83.2431,69.6267,21.6258,-50.0697,110.059,-14.0007,-226.413
1.65868,7.6e-05,0.0992837,-0.569758,0.60874,89.434,44.7015,83.8433,69.6558,21.7641,-49.8576,110.026,-14.5698,-226.304
1.75868,7.8e-05,0.0992837,-0.569758,0.60874,89.436,44.7013,84.4435,69.686,21.905,-49.6411,110.002,-15.1379,-226.203
1.85869,8.7e-05,0.0992837,-0.569758,0.60874,89.4381,44.7011,85.0437,69.7172,22.0486,-49.4201,109.987,-15.7048,-226.108
1.9587,9.2e-05,0.0992837,-0.569758,0.60874,89.4401,44.7009,85.6439,69.7495,22.195,-49.1946,109.982,-16.2707,-226.022
2.0587,9.1e-05,0.0992837,-0.569758,0.60874,89.4421,44.7006,86.2441,69.7827,22.3443,-48.9645,109.986,-16.8356,-225.944
2.15871,9.6e-05,0.0992837,-0.569758,0.60874,89.4441,44.7004,86.8443,69.8171,22.4964,-48.73,110.0,-17.3995,-225.873
2.25871,9.2e-05,0.0992837,-0.569758,0.60874,89.4461,44.7001,87.4445,69.8524,22.6512,-48.4912,110.023,-17.9623,-225.81
2.35871,9e-05,0.0992837,-0.569758,0.60874,89.4481,44.6998,88.0447,69.8888,22.8084,-48.2484,110.054,-18.5242,-225.754
2.45869,7.2e-05,0.0992837,-0.569758,0.60874,89.4501,44.6995,88.6449,69.9261,22.9679,-48.0018,110.092,-19.0851,-225.703
2.55869,7.4e-05,0.0992837,-0.569758,0.60874,89.4521,44.6991,89.245,69.9645,23.1295,-47.7517,110.137,-19.6451,-225.658
2.65871,8.6e-05,0.0992837,-0.569758,0.60874,89.4541,44.6988,89.8452,70.0038,23.293,-47.4982,110.189,-20.2042,-225.617
2.75872,9.1e-05,0.0992837,-0.569758,0.60874,89.456,44.6984,90.4454,70.0441,23.4583,-47.2417,110.245,-20.7623,-225.581
2.85872,8.6e-05,0.0992837,-0.569758,0.60874,89.458,44.6981,91.0456,70.0869,23.6509,-46.9503,110.383,-21.3398,-225.612
2.95874,0.000103,0.0992837,-0.569758,0.60874,89.46,44.6977,91.6458,70.1277,23.8064,-46.7051,110.42,-21.8776,-225.562
3.05873,9.5e-05,0.0992837,-0.569758,0.60874,89.4619,44.6973,92.246,70.1708,23.9708,-46.4465,110.471,-22.4319,-225.518
